image,title,platform,price
https://media.gamestop.com/i/gamestop/11112062/Madden-NFL-21-Next-Level-Edition?w=188&h=188,Madden NFL 21 Next Level Edition,Xbox Series X,69.99
https://media.gamestop.com/i/gamestop/11116255/MLB-The-Show-21?w=188&h=188,MLB The Show 21,Xbox Series X,59.99
https://media.gamestop.com/i/gamestop/11112693/Monster-Energy-Supercross-4?w=188&h=188,Monster Energy Supercross 4,Xbox Series X,39.99
https://media.gamestop.com/i/gamestop/11110039/Mortal-Kombat-11-Ultimate-Edition?w=188&h=188,Mortal Kombat 11 Ultimate Edition,Xbox Series X,49.99
https://media.gamestop.com/i/gamestop/11103704/NBA-2K21?w=188&h=188,NBA 2K21,Xbox Series X,29.99
https://media.gamestop.com/i/gamestop/11103700/NBA-2K21-Mamba-Forever-Edition?w=188&h=188,NBA 2K21 Mamba Forever Edition,Xbox Series X,49.99
https://media.gamestop.com/i/gamestop/11105889/Overcooked-All-You-Can-Eat?w=188&h=188,Overcooked! All You Can Eat,Xbox Series X,29.99
https://media.gamestop.com/i/gamestop/11107487/Puyo-Puyo-Tetris-2-Launch-Edition?w=188&h=188,Puyo Puyo Tetris 2 Launch Edition,Xbox Series X,29.99
https://media.gamestop.com/i/gamestop/11114711/Resident-Evil-Village?w=188&h=188,Resident Evil Village,Xbox Series X,59.99
https://media.gamestop.com/i/gamestop/11114714/Resident-Evil-Village-Deluxe-Edition?w=188&h=188,Resident Evil Village Deluxe Edition,Xbox Series X,69.99
https://media.gamestop.com/i/gamestop/11116351/Samurai-Shodown-Enhanced?w=188&h=188,Samurai Shodown Enhanced,Xbox Series X,59.99
https://media.gamestop.com/i/gamestop/11120267/Tony-Hawk-Pro-Skater-1-and-2?w=188&h=188,Tony Hawk Pro Skater 1 and 2,Xbox Series X,49.99
https://media.gamestop.com/i/gamestop/11110272/Warhammer-Chaosbane-Slayer-Edition?w=188&h=188,Warhammer: Chaosbane Slayer Edition,Xbox Series X,39.99
https://media.gamestop.com/i/gamestop/10177068/Watch-Dogs-Legion?w=188&h=188,Watch Dogs: Legion,Xbox Series X,29.99
https://media.gamestop.com/i/gamestop/11094787/Watch-Dogs-Legion-Gold-Steelbook-Edition?w=188&h=188,Watch Dogs: Legion Gold Steelbook Edition,Xbox Series X,79.99
https://media.gamestop.com/i/gamestop/11094785/Watch-Dogs-Legion-Ultimate-Steelbook-Edition-Only-at-GameStop?w=188&h=188,Watch Dogs: Legion Ultimate Steelbook Edition Only at GameStop,Xbox Series X,99.99
https://media.gamestop.com/i/gamestop/11113141/Werewolf-The-Apocalypse-Earthblood?w=188&h=188,Werewolf: The Apocalypse Earthblood,Xbox Series X,49.99
https://media.gamestop.com/i/gamestop/11102240/Yakuza-Like-a-Dragon-Day-One-Edition?w=188&h=188,Yakuza: Like a Dragon Day One Edition,Xbox Series X,59.99
https://media.gamestop.com/i/gamestop/10171019/Ace-Combat-7-Skies-Unknown?w=188&h=188,Ace Combat 7: Skies Unknown,PC,59.99
https://media.gamestop.com/i/gamestop/10099087/Age-of-Empires-III-Complete-Collection?w=188&h=188,Age of Empires III: Complete Collection,PC,39.99
https://media.gamestop.com/i/gamestop/10151836/Age-of-Empires-Definitive-Edition?w=188&h=188,Age of Empires: Definitive Edition,PC,19.99
https://media.gamestop.com/i/gamestop/10107141/Alice-Madness-Returns---The-Complete-Collection?w=188&h=188,Alice: Madness Returns - The Complete Collection,PC,29.99
https://media.gamestop.com/i/gamestop/11096969/Apex-Legends-Bloodhound-Edition?w=188&h=188,Apex Legends Bloodhound Edition,PC,4.97
https://media.gamestop.com/i/gamestop/11111191/Apex-Legends-Champions-Edition?w=188&h=188,Apex Legends Champions Edition,PC,39.99
https://media.gamestop.com/i/gamestop/11096968/Apex-Legends-Lifeline-Edition?w=188&h=188,Apex Legends Lifeline Edition,PC,4.97
https://media.gamestop.com/i/gamestop/11100546/Apex-Legends-Octane-Edition?w=188&h=188,Apex Legends Octane Edition,PC,19.99
https://media.gamestop.com/i/gamestop/10108897/Battlefield-4?w=188&h=188,Battlefield 4,PC,19.99
https://media.gamestop.com/i/gamestop/11127088/Biomutant?w=188&h=188,Biomutant,PC,59.99
https://media.gamestop.com/i/gamestop/11107507/Call-of-Duty-Black-Ops-Cold-War?w=188&h=188,Call of Duty: Black Ops Cold War,PC,59.99
https://media.gamestop.com/i/gamestop/11113552/Call-of-Duty-Black-Ops-Cold-War-1100-Points?w=188&h=188,"Call of Duty: Black Ops Cold War 1,100 Points",PC,9.99
https://media.gamestop.com/i/gamestop/11113554/Call-of-Duty-Black-Ops-Cold-War-2400-Points?w=188&h=188,"Call of Duty: Black Ops Cold War 2,400 Points",PC,19.99
https://media.gamestop.com/i/gamestop/11113560/Call-of-Duty-Black-Ops-Cold-War-5000-Points?w=188&h=188,"Call of Duty: Black Ops Cold War 5,000 Points",PC,39.99
https://media.gamestop.com/i/gamestop/10101869/Call-of-Duty-Black-Ops-II?w=188&h=188,Call of Duty: Black Ops II,PC,59.99
https://media.gamestop.com/i/gamestop/10111012/Call-of-Duty-Black-Ops-II-Vengeance?w=188&h=188,Call of Duty: Black Ops II Vengeance,PC,14.99
https://media.gamestop.com/i/gamestop/10149315/Call-of-Duty-Black-Ops-III-Zombies-Chronicles?w=188&h=188,Call of Duty: Black Ops III Zombies Chronicles,PC,29.99
https://media.gamestop.com/i/gamestop/11097309/Call-of-Duty-Modern-Warfare?w=188&h=188,Call of Duty: Modern Warfare,PC,59.99
https://media.gamestop.com/i/gamestop/10074786/Call-of-Duty-Modern-Warfare-2?w=188&h=188,Call of Duty: Modern Warfare 2,PC,19.99
https://media.gamestop.com/i/gamestop/10111446/Castlevania-Lords-of-Shadow-Ultimate-Edition?w=188&h=188,Castlevania: Lords of Shadow Ultimate Edition,PC,29.99
https://media.gamestop.com/i/gamestop/10170997/Cities-Skylines?w=188&h=188,Cities: Skylines,PC,29.99
https://media.gamestop.com/i/gamestop/11101164/Command-and-Conquer-Remastered-Collection?w=188&h=188,Command and Conquer Remastered Collection,PC,19.99
https://media.gamestop.com/i/gamestop/11094594/Cyberpunk-2077?w=188&h=188,Cyberpunk 2077,PC,59.99
https://media.gamestop.com/i/gamestop/10163468/DOOM-Eternal?w=188&h=188,DOOM Eternal,PC,59.99
https://media.gamestop.com/i/gamestop/11052192/Dreamcast-Collection?w=188&h=188,Dreamcast Collection,PC,29.99
https://media.gamestop.com/i/gamestop/10150349/Fallout-4-VR?w=188&h=188,Fallout 4 VR,PC,59.99
https://media.gamestop.com/i/gamestop/10163239/Fallout-76?w=188&h=188,Fallout 76,PC,39.99
https://media.gamestop.com/i/gamestop/10170469/Farming-Simulator-19?w=188&h=188,Farming Simulator 19,PC,19.99
https://media.gamestop.com/i/gamestop/10109269/FIFA-14?w=188&h=188,FIFA 14,PC,19.99
https://media.gamestop.com/i/gamestop/11109999/FIFA-21?w=188&h=188,FIFA 21,PC,19.99
https://media.gamestop.com/i/gamestop/11109142/FIFA-21-2200-Ultimate-Team-Points?w=188&h=188,"FIFA 21 2,200 Ultimate Team Points",PC,19.99
https://media.gamestop.com/i/gamestop/11094783/FINAL-FANTASY-XIV-Online-Complete-Edition?w=188&h=188,FINAL FANTASY XIV Online Complete Edition,PC,59.99
https://media.gamestop.com/i/gamestop/10173119/FINAL-FANTASY-XIV-Shadowbringers?w=188&h=188,FINAL FANTASY XIV: Shadowbringers,PC,39.99
https://media.gamestop.com/i/gamestop/10115173/Gauntlet?w=188&h=188,Gauntlet,PC,19.99
https://media.gamestop.com/i/gamestop/10156219/Grand-Theft-Auto-Online-Criminal-Enterprise-Starter-Pack?w=188&h=188,Grand Theft Auto Online Criminal Enterprise Starter Pack,PC,9.99
https://media.gamestop.com/i/gamestop/10159654/Grand-Theft-Auto-V-Premium-Edition?w=188&h=188,Grand Theft Auto V: Premium Edition,PC,29.99
https://media.gamestop.com/i/gamestop/10159655/Grand-Theft-Auto-V-Premium-Edition-and-Great-White-Shark-Card-Bundle?w=188&h=188,Grand Theft Auto V: Premium Edition and Great White Shark Card Bundle,PC,44.98
https://media.gamestop.com/i/gamestop/10132162/Grand-Theft-Auto-San-Andreas?w=188&h=188,Grand Theft Auto: San Andreas,PC,14.99
https://media.gamestop.com/i/gamestop/10132161/Grand-Theft-Auto-Vice-City?w=188&h=188,Grand Theft Auto: Vice City,PC,9.99
https://media.gamestop.com/i/gamestop/10151920/Guild-Wars-2-Path-of-Fire?w=188&h=188,Guild Wars 2: Path of Fire,PC,29.99
https://media.gamestop.com/i/gamestop/11105725/Horizon-Zero-Dawn-Complete-Edition?w=188&h=188,Horizon Zero Dawn: Complete Edition,PC,49.99
https://media.gamestop.com/i/gamestop/10164771/Insurgency-Sandstorm?w=188&h=188,Insurgency: Sandstorm,PC,29.99
https://media.gamestop.com/i/gamestop/11110004/Insurgency-Sandstorm-Breakaway-Set-Bundle?w=188&h=188,Insurgency: Sandstorm Breakaway Set Bundle,PC,9.99
https://media.gamestop.com/i/gamestop/10172258/Jump-Force?w=188&h=188,Jump Force,PC,59.99
https://media.gamestop.com/i/gamestop/10152123/Kerbal-Space-Program?w=188&h=188,Kerbal Space Program,PC,39.99
https://media.gamestop.com/i/gamestop/11120605/Knockout-City?w=188&h=188,Knockout City,PC,19.99
https://media.gamestop.com/i/gamestop/10171490/Learn-to-Code-Your-Own-Games-Websites-Apps-Simple-Coding-Bundle-eCard?w=188&h=188,"Learn to Code Your Own Games, Websites, Apps: Simple Coding Bundle eCard",PC,29.95
https://media.gamestop.com/i/gamestop/10065231/Left-4-Dead?w=188&h=188,Left 4 Dead,PC,19.99
https://media.gamestop.com/i/gamestop/10076112/Left-4-Dead-2?w=188&h=188,Left 4 Dead 2,PC,19.99
https://media.gamestop.com/i/gamestop/10112363/LEGO-Marvel-Super-Heroes?w=188&h=188,LEGO Marvel Super Heroes,PC,19.99
https://media.gamestop.com/i/gamestop/10142075/Little-Nightmares?w=188&h=188,Little Nightmares,PC,19.99
https://media.gamestop.com/i/gamestop/10077554/Lord-of-the-Rings-War-in-the-North?w=188&h=188,Lord of the Rings: War in the North,PC,19.99
https://media.gamestop.com/i/gamestop/11103329/Madden-NFL-21?w=188&h=188,Madden NFL 21,PC,19.99
https://media.gamestop.com/i/gamestop/11115854/Mass-Effect-Legendary-Edition?w=188&h=188,Mass Effect Legendary Edition,PC,59.99
https://media.gamestop.com/i/gamestop/11104717/Microsoft-Flight-Simulator?w=188&h=188,Microsoft Flight Simulator,PC,59.99
